id,timestamp,token,manual,time,lines,views
8c3yfZ5N_v8,580.3,1:36 pm,true,1:36pm,"24-year-old Kupfer had texted a friend, at||around 1:36 pm , and written that she felt||uncomfortable about a person that was in the",178327
Ir8A9NQAxMo,559.4,1:36 PM,true,1:36pm,The pair then discussed their child's custody||before Kelley suddenly changes the subject at 1:36 PM he texted her on January 14th||Heidi responds,112410
iEv6NTwQrco,21.3,1 36 PM,false,1:36pm,International Airport also in Indonesia||at 1 36 PM local time the passenger jet||with 62 people on board lifted off from,198584
PeSgVYUcxbI,362.4,1 36 pm,false,1:36pm,security gate||behind them at 1 36 pm inga sent a text||message to fred it was the last message,135354
Ir8A9NQAxMo,559.6,1 36 pm,false,1:36pm,discuss their child's custody before||kelly suddenly changes the subject at 1 36 pm did you do something to the oatmeal that||was in my fridge he texted her,112410
KFmmlQpPhx0,464.3,1 36 pm,false,1:36pm,world's territory when someone inside||the house started shooting at about 1 36 pm he would die at only the age of 27||years of age this will Mark,307533
br8N1F7eB14,827.7,1:36 P M,true,1:36pm,New message||Friday 1:36 P M||Beth,409887
1_9nlTiNUh8,92.8,1:36 P M,true,1:36pm,WORKING||>> AT 1:36 P M||IN THE,123903
6pm98crPeN4,278.6,1 36 p m,false,1:36pm,one percent of your toy okay so right||now it's currently 1 36 p m and the toy||store closes at 6 and we still have a,17183612
XaNZeRNeTrY,524.2,1 36 p m,false,1:36pm,spicy chicken robin i said much emails||and now it's currently 1 36 p m or not running a little bit behind the||schedule because of all the haircuts,9944932
qp158VOHfcE,549.4,1 36 p m,false,1:36pm,arrived to the Madden tournament around||1 36 p m what followed was a standoff of||sorts with some people who had actually,1325768
YkH7Dh1bOss,220,1:36 p m,false,1:36pm,in this line since 9:30 it's now||1:36 p m||half of tannic on is over and,488659
qp158VOHfcE,549.4,1 36 p m,false,1:36pm,arrived to the Madden tournament around||1 36 p m what followed was a standoff of||sorts with some people who had actually,1325768
VtEme1PjO6A,709.9,1 36 p m,false,1:36pm,this album and i wrote this in september||2nd 2018 at 1 36 p m so yeah yeah that's where it started so||the so that so the plan,394628
7JGNIwdvTAU,335.1,1 36 p m,false,1:36pm,juicy corn||man time flies one minute it's 1 36 p m and then next it's 1 37 p m explain a||film plot badly,365007
4DDhBtrZMYc,577,1 36 p m,false,1:36pm,it's me give me a call when you||want to catch up at around 1 36 p m he||sent a final message to sarah saying,245977
txyag7Utbrk,377.5,1:36 p m,false,1:36pm,"more than 1,500 injured and a trail of||gruesome destruction at 1:36 p m a||truck exploded in the grain trading area",222861
zWkk2r7NpYs,235.6,1 36 p m,false,1:36pm,you got 15 minutes the time right now is||1 36 p m you got 15 minutes bro||so now this is going to be on the news,158227
-iWs8gHkxVA,43.3,1 36 p m,false,1:36pm,is the first day of tryouts||first round I guess you would say it's 1 36 p m and it's Wednesday tryouts are at||6 p m tonight and then if you,143540
NHKXBDMhr8k,1577.6,1:36 p m,false,1:36pm,and reaches the end||of the line at 1:36 p m it stops only||once to the station located 179,133998
1_9nlTiNUh8,92.7,1 36 p m,false,1:36pm,where the young ucla student was working||at 1 36 p m in the afternoon brianna was||working in this store all by herself,123903
rQfTvNTTi_A,713.3,1 36 p m,false,1:36pm,store alone that afternoon||at 1 36 p m briana reportedly texted a||friend saying that someone inside the,111510
piFXoSn1Kss,0.2,1 36 p m,false,1:36pm,today is october 15th at 1 36 p m we did||abyss as the second it came out this is||my absolute first impression,108507
IA8SSo6LeBg,12.8,1 36 p m,false,1:36pm,bmb okay and i received this payment||today around 1 36 p m today okay and the||transaction is already completed okay,104619
IA8SSo6LeBg,373.4,1 36 p m,false,1:36pm,time guys||1 36 p m okay so the payment is already||completed okay and here is the network,104619
