id,timestamp,token,manual,time,lines,views
qcR_UHV0tKE,110.3,4:27pm,true,4:27pm,"far off||Perry and Charles kept the faith and in 2009, on April 28th at 4:27pm||we announced that it was live",100820
dQNpj7PxIu0,78,4:27pm,true,4:27pm,It could be stuff like where does Matt go||every Thursday at 4:27pm ?||Or what does Ben always buy online?,96190
vNnuUa1VtVw,16.5,4:27pm,true,4:27pm,Winter's setting in across the land||and it's suddenly dark at like 4:27pm for no good reason||This leaves us with nothing to do,17343
CRHy75SnTdo,840,4 27 pm,true,4:27pm,"4 30 pm||- The clock is now 4 27 pm||In the app they've created, you should send in three pictures of the fish",371364
OFbY3UDd2vQ,235.1,4:27 PM,true,4:27pm,"111 99 before tax||on July 25th, 1994 at 4:27 PM||Now the ASUC store, the ASUC store,",105053
kQcelzFZGA4,454.5,4 27 pm,true,4:27pm,mayor stating that the sultan will arrive today||at cambridge 4 27 pm for a short visit could you||arrange to show him the buildings of interest,76160
p-dJlFDOGbg,604.5,4:27 PM,true,4:27pm,"121 23||on July 25th, 1994 at 4:27 PM at the ASUC store||So I'm really surprised that not only is the in",37830
BHeHqrwjFgY,59.1,4@27 PM,true,4:27pm,"THERE||>> THURSDAY, JULY 19 6: 4@27 PM||THERE ARE",29514
BHeHqrwjFgY,59.3,4@27 PM,true,4:27pm,"THERE ARE||>> THURSDAY, JULY 19 6: 4@27 PM||THERE ARE FIVE",29514
BHeHqrwjFgY,59.6,4@27 PM,true,4:27pm,"THERE ARE FIVE||>> THURSDAY, JULY 19 6: 4@27 PM THERE ARE",29514
-GAxd5NfSSo,623.3,4:27 PM,true,4:27pm,"that was so fast, all the meals are empty now||now the time is 4:27 PM so it only took 1 and half hour to empty all the meals||what a",22023
QFfSbMqp3q4,394.9,4 27 pm,false,4:27pm,reported missing||at 4 27 pm officers arriving at the||apartment,1758310
yzfJnn4Dpgo,478.3,4 27 pm,false,4:27pm,revive bobby jo||she was pronounced dead at 4 27 pm it was concluded though that the baby||could still be alive,1575659
6wKGc1ZxnIE,584.8,4 27 PM,false,4:27pm,masks||the next day on January 3rd at 4 27 PM Brian drove to an apartment complex||surveillance showed Brian's Volvo pull,356950
5l37EFE9edA,446.8,4 27 PM,false,4:27pm,critical condition for a while and||around 4 27 PM we reinformed he didn't||make it this is not a joke or a game,245650
SVhLKKTUhIg,97.1,4 27 pm,false,4:27pm,it is understood that the footage was||taken at 4 27 pm i spoke with him at 4 53 pm||my video provides an insight into the,215416
PTmhrOhZ6VA,177.5,4 27 pm,false,4:27pm,it Brenton arrived at MSP airport around||4 27 pm on an American Airlines flight||from Washington DC but didn't check a,199369
2x7jFJEr6Ec,472.6,4 27 PM,false,4:27pm,20 PM can baking soda make a body smell||good hours later starting at 4 27 PM the||prosecutor says Brian Walsh is seen with,205131
gX1LPDwBzFw,207.4,4 27 PM,false,4:27pm,hours till the official like 24 hour||time he tweeted us out at 4 27 PM EST||I'm recording this at 9am EST so if he's,171029
bb2W9pgZ1y4,304.6,4 27 PM,false,4:27pm,efforts would fall short and 23 year old||Bobby Joe was pronounced dead at 4 27 PM paramedics concluded that the baby was||most likely alive while being ripped out,109193
qOqJqZI4-fw,226.6,4 27 pm,false,4:27pm,but not even close to enough for a safe||landing at 4 27 pm victoria slammed into||a freshly plowed field at 60 miles an,112748
OFbY3UDd2vQ,232.6,4 27 pm,false,4:27pm,that it was purchased for||111 99 before tax on july 25th 1994 at 4 27 pm now the asuc store the a sucks store||whatever you want to call it actually,105053
u-IOZT0ayGA,163.8,4 27 pm,false,4:27pm,that this video is disturbing||this body camera footage is from 4 27 pm over two hours from when the capital was||first breached,96218
aILf6MjrDx0,266.2,4 27 pm,false,4:27pm,and the time that mark called 9-1-1 was||4 27 pm roger harrington's cigarettes and cup||were on the table,89355
kQcelzFZGA4,453.3,4 27 pm,false,4:27pm,telegram to the mayor stating that the||sultan will arrive today at cambridge 4 27 pm for a short visit could you||arrange to show him the buildings of,76160
t2Rkm9g5bFQ,227.6,4 27 pm,false,4:27pm,a Dr Fox arrived within minutes and||entered the property at 4 27 pm good God he exclaimed upon seeing her||she has been shot she has been dead,85044
41jd5I5gf9A,175,4 27 PM,false,4:27pm,he acknowledged receipt of these||messages at 4 27 PM the pdga's appeal||was entered into the record at 8 22 PM,90250
AE94wfnLxG8,1446.7,4 27 PM,false,4:27pm,of going home on that day police learned||that on January 3rd at 4 27 PM Brian||goes to an apartment complex in Abington,129799
opJI0AxB7-Q,554.8,4 27 pm,false,4:27pm,shot and killed on august 12th 2020||at about 4 27 pm at 70 east oak street||the recording goes as follows 4 14 pm,43356
opJI0AxB7-Q,676.8,4 27 pm,false,4:27pm,hear what they said||getting a person with a gun 4 27 pm at||70 east oak street,43356
opJI0AxB7-Q,1036.2,4 27 pm,false,4:27pm,oak||4 27 pm dispatch okay we have a 10-1||officer needs help 50 each oh,43356
RatAgs6Xvt4,480.5,4 27 PM,false,4:27pm,track Brian Walsh's whereabouts to an||apartment complex in Abington at 4 27 PM according to prosecutors surveillance||video shows he exited his car with a,42661
p-dJlFDOGbg,603,4 27 pm,false,4:27pm,number and the person paid||23 121 23 on july 25th 1994 at 4 27 pm at the||asuc store so i'm really surprised that,37830
XvQkO6d6CkY,129.4,4 27 pm,false,4:27pm,shot and killed on august 4th 2020||at about 4 27 pm at 70 east oak street||the recording goes as follows 4 14 pm,27628
XufSYOBPXJo,47.6,4 27 PM,false,4:27pm,sticker again||and if I scroll down you can see 4 27 PM which is the current time again I can||tap on that show different uh fonts and,36477
w0HvAzhbC94,1113,4 27 pm,false,4:27pm,but were unable to revive bobby joe||and she was pronounced dead at 4 27 pm it was concluded that the infant was||lightly alive given that he or she had,22386
I-R26RZL37U,62.6,4 27 pm,false,4:27pm,last time i did something||8 13 20 20 at 4 27 pm so let's go ahead||and edit active roster,36756
tM8WDNjV_gM,433.2,4 27 pm,false,4:27pm,to trade when the market's closed it is||4 27 pm and after-market trading session||for me here in arizona,18526
zYX1jH5Fmeo,982.6,4 27 pm,false,4:27pm,what time is it||hey google what time is it it's 4 27 pm hi when the sun just comes in like this||on the couch it just makes,16700
TYOkj4Rh09Q,1080.4,4 27 PM,false,4:27pm,posed a challenge using its signal lamp||identify yourselves at 4 27 PM they||responded by initiating gunfire after,14577
xi_xXL0BymU,73.7,4 27 pm,false,4:27pm,or how rough the standby weight||line can be we got in this queue at 4 27 pm standby wait time said 55 minutes||uh based on just my early observations,15024
6pg1N5pweeU,604.5,4 27 p m,true,4:27pm,"one of the shops||It seems that even though the suspect attempted the robbery at 4 27 p m ,||he was already in the area at 1 30 p m",261969
u-IOZT0ayGA,154.1,4:27 P M,true,4:27pm,DISTURBING||>> THIS BODY CAMERA IS FROM 4:27 P M OVER TWO HOURS FROM WHEN THE||CAPITOL WAS FIRST BREACHED,96218
KkAclD_ACAA,33.8,4 27 p m,false,4:27pm,Dairy treats so the CIA goes to the||mafia and they're like look March 14th 4 27 p m Castro's gonna walk in the Holy||Cannoli he's gonna sit in boot five,2888382
dY3R8jAT3KY,84.7,4 27 p m,false,4:27pm,important information okay||on january 13 at 4 27 p m something drastic will happen it's going||to change everything okay and i'm,997670
Gi2Adh8mTco,96.7,4 27 p m,false,4:27pm,of the four parts inside of it now||I have the fourth part it is 4 27 p m which means we have less than 30 minutes||to get there because they close at,553964
BDJnsxHDDH0,732.9,4 27 p m,false,4:27pm,mommy blonde or brunette||i look crazy okay guys it is now 4 27 p m i've let the instagram picture||sit for a few hours now there are over,317973
L-eacicdtRk,281,4:27 p m,false,4:27pm,right you guys I wanted to do a||little midday check-in it is now 4:27 p m so I've had the foundation on for a||while and I still think it,166660
EYYietrHquk,399.4,4 27 p m,false,4:27pm,looks like it's uh across an i-35||at around 4 27 p m the tornado lifted||back into the clouds just south of,146906
uYM0Gin6wiI,79,4 27 p m,false,4:27pm,story actually becomes bigger on the||same day at 4 27 p m newsweek reports||1 5 billion facebook users personal,138828
62f6CA0HfHw,398.5,4 27 p m,false,4:27pm,4 50 p m not 4 40 p m like||she was saying it was 4 27 p m when she||sent that i have been waiting for 40,131918
