id,timestamp,token,manual,time,lines,views
ROKrhLEPAFg,73.4,4:43AM,true,4:43am,Following this event there was no significant dropoff in seismicity until after the second||larger explosion at 4:43AM Inward slumping of the rim and walls of Halema'uma'u contines in response to the ongoing subsidence||at the summit,25613
vbIeNZor3Ww,1142.5,4:43AM,true,4:43am,"if you ask me what time is it, uhh||it's 4:43AM||it's morning right now, so",12338
4wiJsk1o7n0,38.4,4:43 AM,true,4:43am,"Siri, play my snowball-throwing music||The time is now 4:43 AM||Come on",10337171
GZmVcrJPcIo,1439.7,4:43 AM,true,4:43am,"I guess that's it||OMG, I MADE IT BOYS it's 4:43 AM I MADE IT||THANKS FOR WATCHING - Love Tarnisq <3",1546568
TGnMVFihVus,2347.6,4:43 AM,true,4:43am,over the skies of downtown Milwaukee||At 4:43 AM the Wake Up News team||noticed that the camera was showing,1650220
f8D7tMtl0CQ,516.6,4:43 AM,true,4:43am,Something strange was caught on camera||It was 4:43 AM in Milwaukee when the Fox News morning team||began to notice mysterious flying objects,567829
tgkRPEj_zUs,489.3,4:43 am,true,4:43am,suggesting that the München had lost power||At 4:43 am multiple radio stations began receiving||automatic emergency signals from the ship,170663
7q5lM2BgMFw,74.8,4:43 AM,true,4:43am,"About an hour later,||at 4:43 AM||I just bought a camera",197442
XJX2os7kG38,778.1,4:43 am,true,4:43am,"to make another attempt to reach Namba and Weathers||11 May On 11 May, at 4:43 am Hall radioed down and||said that he was on the South Summit",20860
bU_k6Jf4dc8,7.5,4:43 AM,true,4:43am,"undefined 4:43 AM , LINCOLNTON BOY WILL BE||LAID TO REST AFTER A LONG||BATTLE WITH AN EXTREMELY RARE",6502
LmQo3t0G7w0,560.7,4:43 am,true,4:43am,"death||At 4:43 am on May 11, close to twelve hours after the blizzard||started, Hall radioed down and",10026
o9xYOlC8yOE,488.1,4 43 am,false,4:43am,throwing music||the time is now 4 43 am come on||i told you i could break something,3230891
TGnMVFihVus,2348,4 43 am,false,4:43am,Milwaukee||at 4 43 am the wake up news team noticed||that the camera was showing a group of,1650220
_OUdVkPN5ek,1001.6,4 43 am,false,4:43am,his home investigators found a receipt||from a hardware store dated at 4 43 am on the morning of her death while here||he had purchased a shovel and some,851592
pu4KKQJzPgE,668.4,4:43 am,false,4:43am,Association named this morning and that||went out at 4:43 am Diana Princess of||Wales has died this is according to,797633
f8D7tMtl0CQ,516.4,4 43 am,false,4:43am,strange was caught on camera||it was 4 43 am in milwaukee when the fox||news morning team began to notice,567829
AsCqnGD2J8Y,722.7,4 43 am,false,4:43am,strange was caught on camera||it was 4 43 am in milwaukee when the fox||news morning team began to notice,260007
wSTv0x4PPmI,1246.6,4 43 am,false,4:43am,over to the southern france anyway uh||it's uh yeah 4 43 am i'm super tired so||that's all you're gonna get out of me,189052
4qmLt-WNStM,611.1,4 43 am,false,4:43am,the friend sent anita a text message at||4 43 am and anita responded to it at 4 48||the friend sent another text at 4,133400
Q6f3bjZ3Hmw,20.1,4 43 am,false,4:43am,written by ennis lewis||it started at 4 43 am the noise jolted me awake it sounded||like there was a giant truck revving its,102569
ha1nMrbOv3M,157.5,4 43 am,false,4:43am,morning sky that they couldn't explain||at 4 43 am fox 6's wake up news program was||underway in being broadcast live when,90608
5p833vraESM,317.7,4 43 am,false,4:43am,area of milwaukee that tuesday february||27th at about 4 43 am when she saw the||strangest thing in the sky as they,83252
GWrbX-eHK7I,1308.6,4 43 am,false,4:43am,soon after the loud so-called engine||sound at 4 43 am one officer described hearing a||funny whistling sound,90092
GVUmo2zVyis,34.7,4 43 am,false,4:43am,but right now um||it is 4 43 am the moment i finish video||i'm gonna just upload this straight away,80259
WpnbEUFKuac,566.8,4:43 am,false,4:43am,the real juicy juicy bits||this is 4:43 am now the UK is currently||in a lockdown you're not actually,71120
i8SAfpcFIJ4,51,4 43 am,false,4:43am,milwaukee||at 4 43 am the wake up news team noticed||that the camera was showing a couple of,85326
jzeSGuYZuq8,1103.5,4 43 am,false,4:43am,cursed of his life||on May 11 at 4 43 am close to 12 hours after the Blazer||started already down and said that he,100890
LEPsbNGPVc8,713.5,4 43 am,false,4:43am,was going out live to viewers something||strange was caught on camera it was 4 43 am in milwaukee when the fox news||morning team began to notice mysterious,28624
QbdEjqKPxZQ,16.9,4 43 am,false,4:43am,like||4 43 am so like bear with me||i'm gonna try my best to not let my,26103
h3Jwh0hHJus,4.7,4:43 am,false,4:43am,undefined 4:43 am May 23rd 2018 behind the pig||house again and the only difference||between now and,22203
STDayJYhjm0,303.4,4 43 am,false,4:43am,area of milwaukee that tuesday february||27th at about 4 43 am when she saw the||strangest thing in the sky as they,18460
UAmRwm5Gk6g,169.8,4 43 am,false,4:43am,before anybody else like for example||this this got posted literally at 4 43 am today and it's a really cute logo||that you can use and it's,75846
eSuPYpXK2Dc,1505.5,4 43 am,false,4:43am,keep going and he was probably||talking to doug or andy or both and at 4 43 am rob radioed again from the south||summit this time asking for help for,12766
Shrw6C2Xhfk,96.1,4 43 am,false,4:43am,morning guys not sure if you get serious||but it's 4 43 am right now got ready||and I'll be on my way to pizza and of,11469
i8q46cs7VMI,576.5,4 43 am,false,4:43am,stipulated that the images constituted||childhood at 4 43 am on July the 14th||2002 someone printed from that computer,33198
ltVxr0RRmB4,690,4 43 am,false,4:43am,as the fire was started||at 4 43 am a man was seen on cctv||walking down john street towards the,27081
KzqD9wefyKU,658.9,4 43 am,false,4:43am,by that Sleeping Giant natl in a video||shot at 4 43 am gun fire can be seen in||a serviceable Bay Area a few seconds,9558
GoHjBc7oN94,61.2,4 43 am,false,4:43am,let's go to this one also the time of||this recording is 4 43 am so uh border role play strict board||tunnel yes no president and border rp,15897
WH6WablVfH0,310.6,4 43 am,false,4:43am,can see the time difference last play uh||4 43 am yes it's early as over here right||now so let me play right back,11183
83mJv-8xNXs,645.5,4 43 am,false,4:43am,stab Vandergriff to death they also||found a receipt from 4 43 am just two||hours before the victim's body was found,11706
oMVAAfulVEk,768.1,4 43 am,false,4:43am,that being said i'm not going to talk||too much because it is 4 43 am in the||morning i fell asleep without starting,21017
qdDSH5AmLeU,209.3,4 43 am,false,4:43am,expedition 67 mission||nearly 24 hours later on may 6 at 4 43 am gmt all four astronauts splashed down||safely in the gulf of mexico ending,7996
1TyOfqcULVc,37.3,4:43 a m,true,4:43am,"over the skies of downtown Milwaukee||At 4:43 a m , the WakeUp news team noticed||that camera was showing",7718830
JST35OJQTgU,393.7,4:43 a m,true,4:43am,"and was broadcasting a live feed in Milwaukee||At 4:43 a m , 10 sinister lights appeared in the distance||If those dots had been stationary, then the",991446
CUZ5N34t3AE,5.7,4:43 a m,true,4:43am,"Narrator||At around 4:43 a m||on February the 27th, 2018,",115424
QLUigdlci5s,1725,4:43 A M,true,4:43am,"know if this is how Doug Hansen passed away||What we do know is at 4:43 A M||on May 11th, Rob radioed Base Camp and when Guy Cotter",59379
fjF3O-vaeec,96.5,4:43 A M,true,4:43am,"TWO CHILDREN WERE IN FACT||DECEASED AT 4:43 A M KRISTA:||""NEIGHBORS SAY THE TWO",8081
y0M4Ta4aaZk,382.4,4:43 a m,false,4:43am,going back to France again she texted||Fran at 4:43 a m I'm coming over ten||minutes later,3277534
a5ilc412kxA,261.5,4 43 a m,false,4:43am,people's money on august 1st 2017 at||approximately 4 43 a m pacific time he||sent one of the agents this email about,623407
Y_s6JEjWPaE,0,4 43 a m,false,4:43am,what's up guys it is currently 4 43 a m yeah,359150
Y_s6JEjWPaE,3.1,4 43 a m,false,4:43am,yeah 4 43 a m and||we are on our way to the airport because||we are going,359150
P4TCEYaE2WQ,114.5,4 43 a m,false,4:43am,to fill you in so here's a||video that i tweeted out yeah like 4 43 a m i have sleep problems haha could you||tell,323712
UWt_1h65EA0,143.4,4:43 a m,false,4:43am,parking lot he sits there for 7 minutes||before he leaves at 4:43 a m you can||see Tony's car still at the gas pump,247224
PLQl5zFLml4,762.9,4:43 a m,false,4:43am,well you know there's just casually||account swapping coins I believe at 4:43 a m as you do anyway let's get into the||last pack,150286
GtS9c0BSZSA,417.4,4 43 a m,false,4:43am,pre well free market here||uh so the announcement was made around 4 43 a m uh california time and you had about 13||minutes to buy this before you would,128246
aGA8G3dWTtg,194.2,4 43 a m,false,4:43am,last night during the overnight hours||between 4 43 a m and 4 59 a m there were||four earthquakes 3 2 3 2 a 3,99467
NQYiXaoTYG0,961.6,4 43 A M,false,4:43am,better lighting of course it's currently||4 43 A M and we're all back at the Airbnb they're||sleeping on the couches emo,198899
OVW94qjmgYs,176.1,4:43 a m,false,4:43am,just want to you know stay a little||quiet it is 4:43 a m and this is like||my seventh yes about my seventh attempt,73638
OVW94qjmgYs,192.2,4:43 a m,false,4:43am,but you know during midnight like around||yeah 4:43 a m Eastern Time there's a||lot of teams and there's always that one,73638
WpnbEUFKuac,545.6,4:43 a m,false,4:43am,here this is the notification which I||received this is at 4:43 a m now there's some important||information to kind of bear in mind,71120
5YS3Yy7Fo2c,13,4 43 a m,false,4:43am,volcanology and seismology or vivocs the||tectonic earthquake struck at 4 43 a m with its epicenter traced some 22||kilometers southeast of a new Bataan,54274
7WFJYuIiVic,278.7,4:43 a m,false,4:43am,and I woke up at||4:43 a m and it took me 12 minutes to||fall asleep I woke up three times and,44030
pkfwmkrhnbE,548.6,4:43 a m,false,4:43am,would just click on it so I'm recording||this at 4:43 a m so I can really expect||like no one accepting my request right,35802
9FQa3eM-ixE,88,4:43 a m,false,4:43am,that was posted by red Eva Teddy on the||29th of April at 4:43 a m UK timezone ok I'm really hoping||that the set does not come out at,25980
ROKrhLEPAFg,74.6,4:43 a m,false,4:43am,after the second larger explosion at||4:43 a m inward slumping of the rim and||walls of Halema'uma'u continues in,25613
aLc0WJgJF8w,895,4 43 a m,false,4:43am,record let me see what time it is bro it||is 4 43 a m hope you guys enjoyed||today's video Drop Like subscribe if you,26891
