id,timestamp,token,manual,time,lines,views,category
QINII0eeJxc,1687,6:17PM,true,6:17pm,"If you were watching our newscast||around 6:17PM or at 10:38PM,||you may have seen a ""Hazardous Materials Warning""",5574852,27
TJryx2WlK7Q,9.6,6:17PM,true,6:17pm,are you still doing work?||It's already 6:17PM Work has ended||Close your computer,106958,24
bejxB1V-B7A,29.6,6:17pm,true,6:17pm,"17th||As you can see on TheSpaceXFans website, we can currently expect the launch at 6:17pm UTC or 2:17pm EDT||SpaceX has apparently filed with the FCC to install 10",36747,28
Xb_n9hzET7s,906.7,6 17pm,false,6:17pm,to recommend||are sanyo expressway 6 17pm and in full||bloom sanyo expressway depicts a very,185621,24
Y-FrAAWnxJg,97.4,6:17 pm,true,6:17pm,"On Monday, September 14th,||they would board The Cyclone rollercoaster at 6:17 pm||At 6:19, the same rollercoaster's front axle would break",129269,1
QINII0eeJxc,1687.1,6 17 pm,false,6:17pm,if you are watching our newscast around||6 17 pm or at 10 38 pm you may have seen||a hazardous materials warning crawl,5574852,27
MRnwghjAnhc,759.5,6 17 pm,false,6:17pm,so after she got off work Rachel texted||Jonathan this was at 6 17 pm to let him||know she was done with work and he said,157134,27
PG04zJyCo2o,164.7,6 17 pm,false,6:17pm,the tape more carefully he would have||seen that the very end of it at 6 17 pm and the far right corner of the ocean as||satellite crashed into the water,137775,1
epvgthfJJ9o,57.2,6 17 pm,false,6:17pm,he just live action deleted the dm and||just typed i'll be there at 6 17 pm i||don't have to lie,72326,22
s2D53sXRivw,1480,6 17 pm,false,6:17pm,guys i'm back with another||update the time is 6 17 pm and what you just seen happen uh the||first lady when the room was kind,83830,22
pIXiE6T1BJs,37.3,6 17 PM,false,6:17pm,guided the players off the field due to||bad light they would re-emerge at 6 17 PM local time and walk out to the middle||amongst an exuberant English crowd to,214550,17
XN_uTofJGxw,21.4,6 17 pm,false,6:17pm,five-month-old son to death||at 6 17 pm on Sunday the 11th of||December Medics responded to a 911 call,22498,24
QtALqY--hDw,783.5,6 17 PM,false,6:17pm,it starts Friday November 11th create at||6 17 PM or you put it at what I||recommend is 12 A M,39770,26
i8q46cs7VMI,233.2,6 17 pm,false,6:17pm,specifically they investigators arrived||at the Smoke Tree complex at 6 17 pm and||after stopping at the service stations,33198,24
sftfR8cHGUQ,150.3,6:17 P M,true,6:17pm,THEY DO SO ON THANKSGIVING||EVENING AT 6:17 P M AS THIS||CORRECTION WAS GIVEN,656389,25
GbRM2QsTYqE,465.3,6:17 p m,true,6:17pm,"Now, we have to kind of start over again,||October 12, 2021 tweeted, at 6:17 p m||By Jim irsay Colts",54595,17
_HBiA1AeLzc,406.2,6:17 P M,true,6:17pm,"SOUND OF GUNDAM MOVING||All right, 6:17 P M right now||I think this angle will be perfect",33037,19
mIcmDEm08_U,1.7,6 17 p m,true,6:17pm,it's uh 6 17 p m right now and i||haven't done anything oh my god||i feel so tired,34203,22
fzG4AoN_NgE,93.3,6 17 p m,true,6:17pm,Music||just wrapped up work for the evening it is 6 17 p m Andrew is out surfing behind a boat||in a lake with some guys so love,36166,22
b76qOHVxdpg,744.7,6:17 p m,false,6:17pm,point eight mill in a very small amount||of time again started this at 6:17 p m and now it is 6:30 which would be I||believe thirteen minutes it took,1814104,20
4FQjavhg9UU,746.7,6 17 p m,false,6:17pm,you'd have my vote||for eternity it's actually 6 17 p m and||it is completely pitch black like,1176051,2
1_ArpFlegVk,821,6:17 p m,false,6:17pm,take her to get ice cream||at 6:17 p m and you know that'll be the||extent of my a bodyguard at duties to,815133,20
sftfR8cHGUQ,145.1,6:17 p m,false,6:17pm,honesty but they do so on Thanksgiving||evening at 6:17 p m as this correction||was given there was another AP story,656389,25
Xr8DcC8TTB0,923.9,6 17 p m,false,6:17pm,cloudy really gray day and the sunset||should be at 6 17 p m so if he posts anything conflicting the||post could be old or he's not,621154,24
JQWY55rnEkI,252.6,6:17 p m,false,6:17pm,it out and yeah so wish me luck oh my||god it is currently a 6:17 p m and both||videos are finally up I am so excited,602811,22
