id,timestamp,token,manual,time,lines,views
pJ_LUFBSoqM,123.9,3:37 pm,true,3:37pm,"For this game, they left the day before on a United Airlines 767-400 at 3:37 pm landing||30 minutes later, at 4:07 pm, in Providence, Rhode Island||The plane then",2401560
s2SIPy6dYp4,124.2,3 37 pm,true,3:37pm,that once again just one hour later this time||at 3 37 pm spacex fired up the raptor engines||to complete their fourth static fire overall with,362863
Vof5ki-u7MQ,939.8,3:37 PM,true,3:37pm,"made from Kyle's phone||Police officers left the scene just three minutes later at 3:37 PM||That evening, after Kyle never returned home, his parents activated an app",334793
Eo-GfTJD93o,408.2,3:37 PM,true,3:37pm,"and that can be a problem for those of us- Siri: 3:37 PM||What?||Because of COVID, probably at least- Siri:",301861
Eo-GfTJD93o,412.2,3:37 PM,true,3:37pm,"What?||Because of COVID, probably at least- Siri: 3:37 PM Why do you keep talking to me? I'm still figuring",301861
feEhZ0Spz58,221,3 37 pm,false,3:37pm,36||p m and he was born at 3 37 pm so||they're only a minute apart which is,1105211
Hq80Po5J44M,383.8,3 37 pm,false,3:37pm,police to hurry||this is a 3 37 it's not even late it's 3 37 pm don't stop texting where you are keep||telling us don't know,644795
cvljtqZ_eYU,1243.4,3 37 pm,false,3:37pm,minutes and didn't say a word||at 3 37 pm dr gopi padilla was just||wrapping up the meeting when amy pulled,501470
s2SIPy6dYp4,126.1,3 37 pm,false,3:37pm,was that once again just one hour later||this time at 3 37 pm spacex fired up the raptor engines to||complete their fourth static fire,362863
Eo-GfTJD93o,414.2,3 37 pm,false,3:37pm,what because of kovid probably at least||3 37 pm why do you keep talking to me i'm still||figuring out my apple watch,301861
Vof5ki-u7MQ,941.2,3 37 PM,false,3:37pm,phone police officers left the scene||just three minutes later at 3 37 PM that||evening after Kyle never returned home,334793
s2SIPy6dYp4,143.4,3 37 p m,true,3:37pm,within three hours from the first at 12 30 pm||and the last there at 3 37 p m all three of||these tests were extremely brief lasting around,362863
0e6fLGZy0tc,432,3 37 p m,false,3:37pm,okay august 5th yes motion was detected||around 3 37 p m okay yeah like a hat is||definitely opening up the door yeah yeah,3905902
lIpj9UgqI-I,487.2,3:37 p m,false,3:37pm,Twitter caught one of the deleted tweets||and it was on October 7th at 3:37 p m I've seen my own father strung out on a||couch with his mouth drooping,2440799
pJ_LUFBSoqM,128.5,3:37 p m,false,3:37pm,before on a United Airlines 767 400 at||3:37 p m land||thirty minutes later at 4:07 p m,2401560
nrEx8l_gcvs,301,3:37 p m,false,3:37pm,Pioneer patrol division for the Salt||Lake City Police Department at 3:37 p m dispatch received a call of a red Ford||Mustang just haven't been stolen at,845772
s2SIPy6dYp4,143.4,3 37 p m,false,3:37pm,12 30 pm||and the last there at 3 37 p m all three||of these tests were extremely brief,362863
uBR2XYFS_Ok,1051.9,3:37 p m,false,3:37pm,thereafter are unknown Jason never made||it home that night and at 3:37 p m later on the same day around 14 to 15||hours later Jason was reported missing,306900
aDWFiGWx3-4,737.2,3:37 p m,false,3:37pm,the video I took three steals this deal||right here was taken at 3:37 p m you||can see hearing a brightened up version,279668
KjqQptq3DWc,178.4,3:37 p m,false,3:37pm,thereafter are unknown Jason never made||it home that night and at 3:37 p m later on the same day around 14 to 15||hours later Jason was reported missing,218783
BBfibuceUHI,892.1,3:37 p m,false,3:37pm,the baby was out and they put baby on||top of me that was at 3:37 p m at 3:30||the doctor was examining me to tell me,223954
0uSDNdyBXJs,238.1,3 37 p m,false,3:37pm,the next night he wakes up to more||noises coming from downstairs around 3 37 p m once again he goes down to check||it out and what he captures left him,186794
qqeq__oXvw0,18.2,3 37 p m,false,3:37pm,as of this recording||3 37 p m pt the 28th of february kiev||the capital of ukraine still stands uh,161810
DGTcmc8vhKY,891.3,3:37 p m,false,3:37pm,friends the other tank engines yeah yes||this is it this is a day at 3:37 p m yes like fresh yeah you're asking me if||I knew this news as if,146166
IvRgMQjk1ts,110.1,3:37 p m,false,3:37pm,bank transfer can be viewed under the||summary menu at 3:37 p m I can see that||the transfer of fifty cents from my bank,163438
-Es-81WNmMg,864.3,3:37 p m,false,3:37pm,bank transfer can be viewed under the||summary menu at 3:37 p m I can see that||the transfer of fifty cents from my bank,129945
mWz8YHMUcpg,828.2,3:37 p m,false,3:37pm,ups John maybe they will||3:37 p m lieutenant Bigham rushed the||enlarged mugshots through the bank,120815
